City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
amderma,77.484,-69.3632,-14.84,60,0,4.59,GL,1611955492
bonoua,-5.3,36.5667,59.14,100,100,3.44,TZ,1611955492
tiznit,70.4692,-68.5914,-13,77,90,8.05,CA,1611955492
sentyabrskiy,-25.3007,-57.6359,86,74,75,18.41,PY,1611955394
hobart,-8.345,113.6058,74.79,89,100,2.71,ID,1611955493
lorengau,-34.5322,20.0403,68.14,74,90,3.94,ZA,1611955493
kousseri,-12.9067,15.2533,62.85,65,12,1.66,AO,1611955493
qaanaaq,42.097,-79.2353,21,73,90,13.8,US,1611955493
kibaya,68.7098,-52.8699,3.31,90,2,5.17,GL,1611955493
attawapiskat,-16.4419,-51.1178,79.9,75,95,3.87,BR,1611955494
clyde river,-33.5906,26.891,64.99,87,1,6.06,ZA,1611955494
asuncion,6.8833,73.1,80.46,69,1,7.27,MV,1611955494
ambulu,-20.4081,57.7,80.6,83,40,11.5,MU,1611955267
kuala krai,69.4541,-133.0374,-34.6,67,20,2.3,CA,1611955279
bredasdorp,-4.1333,104.1667,72.77,94,100,3.04,ID,1611955495
longonjo,19.7297,-155.09,71.6,83,90,8.05,US,1611955495
jamestown,-33.0153,27.9116,71.94,64,11,1.16,ZA,1611955235
aasiaat,42.6001,-73.9662,17.01,43,64,11.99,US,1611955495
ipora,14.3,-91.9167,91.4,58,40,13.8,GT,1611955495
ngukurr,66.1451,-65.7125,-9.4,77,1,2.3,CA,1611955495
port alfred,45.9833,27.8667,32.45,97,96,8.37,RO,1611955496
dhidhdhoo,-37.8333,140.7667,59,94,90,12.66,AU,1611955496
mahebourg,-32.7167,152.15,75,88,75,10.36,AU,1611955496
belushya guba,31.9974,-102.0779,66.99,30,1,11.5,US,1611955496
tuktoyaktuk,-24.7911,-50.0119,69.04,93,97,7.34,BR,1611955430
baturaja,28.017,-97.5169,73.99,49,75,14.97,US,1611955393
hilo,46.0725,30.4654,28,100,100,13.58,UA,1611955497
east london,-22.9661,-42.0278,78.8,73,0,17.27,BR,1611955280
albany,41.3712,-73.414,19.4,45,1,17.27,US,1611955274
champerico,31.5333,119.4833,30.2,100,0,2.24,CN,1611955497
pangnirtung,-31.4333,152.9167,71.01,99,87,5.48,AU,1611955398
jorasti,-35.1667,173.1667,67.23,58,0,7.78,NZ,1611955498
mount gambier,-9.4431,147.1797,75.2,94,90,11.5,PG,1611955218
nelson bay,-34.0033,24.7314,62.01,82,1,4.18,ZA,1611955498
midland,2.6708,72.8944,81.28,77,69,14.63,MV,1611955269
tsihombe,-11.6066,34.2907,74.61,77,100,5.93,MW,1611955498
castro,55.0433,43.2418,26.08,96,97,13.69,RU,1611955498
san patricio,68.2191,-135.0107,-31,75,20,3.44,CA,1611955303
samusu,-33.65,115.3333,62.01,85,0,4,AU,1611955499
zatoka,37.1666,-120.7516,55,66,1,3.44,US,1611955367
arraial do cabo,-34.4187,19.2345,66.99,78,87,3,ZA,1611955394
bethel,45.5234,-122.6762,46.99,76,75,4.61,US,1611955218
hutang,6.2101,7.0741,82.53,19,26,5.44,NG,1611955467
port macquarie,14.9215,-23.5087,73.4,60,0,17.27,CV,1611955499
ahipara,36.1683,54.348,46.53,52,98,8.23,IR,1611955500
port moresby,65.85,74.4859,-42.66,80,27,5.93,RU,1611955500
kruisfontein,-20.3167,118.5667,80.6,89,16,5.75,AU,1611955500
kudahuvadhoo,-34.6833,150.8667,71.01,95,98,1.99,AU,1611955500
vaitupu,-35.3333,-72.4167,64.08,83,100,7.72,CL,1611955307
nkhata bay,44.0787,-80.2041,15.01,82,100,12.66,CA,1611955500
diveyevo,-31.4241,-64.4978,84.99,69,75,8.05,AR,1611955500
aklavik,71.2906,-156.7887,-11.2,77,90,9.22,US,1611955362
busselton,6.189,-67.4859,94.03,37,99,12.39,CO,1611955400
merced,38.3167,116.8667,29.28,71,0,3.56,CN,1611955501
hermanus,-35.35,150.4667,69.8,100,90,9.35,AU,1611955501
portland,39.6957,113.6871,18.09,84,0,6.78,CN,1611955502
awka,30.8167,78.2,40.24,52,0,4.59,IN,1611955502
praya,43.3979,-6.7922,55.4,94,20,2.3,ES,1611955502
damghan,-25.2406,130.9889,78.8,65,100,10.36,AU,1611955502
pangody,53.9353,139.9242,-9.45,92,100,4.92,RU,1611955502
port hedland,65.7,82.4667,-30.23,81,46,6.35,RU,1611955502
kiama,51.8718,45.0078,25.12,96,4,13.29,RU,1611955503
constitucion,-20.7333,139.5,80.6,65,84,2.3,AU,1611955503
shelburne,24.6877,46.7219,66.2,37,6,7.56,SA,1611955278
villa carlos paz,-38.3333,143.5833,57.99,98,98,7.83,AU,1611955503
barrow,-41.8697,-73.8203,62.6,51,0,8.05,CL,1611955280
puerto carreno,-20.3428,57.7575,80.6,83,40,11.5,MU,1611955504
cangzhou,38.8876,-76.5119,33.01,43,90,14.97,US,1611955283
ulladulla,62.7191,32.727,25.61,98,100,7.58,RU,1611955504
yongan,63.05,179.3167,-15.97,86,16,9.33,RU,1611955504
barkot,12.0564,-61.7485,82.4,65,75,13.8,GD,1611955431
castrillon,53.3925,-2.5802,43,87,75,12.66,GB,1611955504
yulara,-38.0023,-57.5575,73.4,60,75,6.91,AR,1611955296
mnogovershinnyy,42.8,93.45,19.53,85,0,2.26,CN,1611955505
krasnoselkup,-14.9172,13.4925,62.13,67,69,5.7,AO,1611955505
atkarsk,10.0167,77.35,69.78,76,100,2.33,IN,1611955505
mount isa,65.282,-126.8329,-31,75,20,3.44,CA,1611955505
riyadh,-3.8004,102.2655,75.25,88,100,6.26,ID,1611955505
colac,20.15,92.9,61.11,76,0,6.58,MM,1611955505
ancud,66.4167,112.4,-36.92,80,69,4.23,RU,1611955506
bambous virieux,50.2334,-63.5986,17.6,57,1,8.05,CA,1611955506
mayo,71.9667,102.5,-44.73,73,0,2.06,RU,1611955506
porosozero,6.7085,121.9711,75.2,88,75,5.55,PH,1611955506
beringovskiy,53.6039,91.3903,24.8,68,0,6.71,RU,1611955506
saint-georges,60.7167,-46.0333,44.6,29,75,26.46,GL,1611955506
warrington,14.4,46.4667,59.02,49,0,4.03,YE,1611955507
mar del plata,48.2869,24.5719,24.04,96,100,3.76,UA,1611955507
hami,60.9167,-46.05,44.6,29,75,26.46,GL,1611955507
lubango,-20.9373,55.2919,78.8,65,0,12.66,RE,1611955507
bodinayakkanur,-33.8679,151.2073,72,99,98,1.99,AU,1611955451
norman wells,71.6872,128.8694,-32.19,84,100,4.27,RU,1611955508
bengkulu,64.5011,-165.4064,-0.4,65,1,3.44,US,1611955263
akyab,9.5217,-6.4869,76.37,17,70,2.82,CI,1611955508
udachnyy,39.05,-27.9833,59.11,76,8,11.25,PT,1611955508
havre-saint-pierre,10.6667,122.95,76.39,85,100,18.01,PH,1611955508
khatanga,31.6315,-8.0083,62.6,48,0,4.61,MA,1611955483
isabela,66,111.5,-34.44,81,85,7.02,RU,1611955509
belyy yar,-7.95,110.2833,75.34,91,100,5.21,ID,1611955509
qaqortoq,-2.5744,150.7967,82.81,82,94,14.72,PG,1611955509
marzuq,26.1842,127.7558,55.4,43,75,4.61,JP,1611955509
vorokhta,60.8156,-115.7999,-5.8,71,7,3.44,CA,1611955509
narsaq,47.6666,-52.7314,28,100,90,17.27,CA,1611955509
le port,-38.7333,-72.95,71.6,68,75,6.91,CL,1611955510
aflu,60.1432,-45.2371,32.79,90,100,8.86,GL,1611955296
bolshoye sorokino,-43.3002,-65.1023,60.33,53,30,18.52,AR,1611955510
sydney,-23.1606,-49.9694,71.35,93,100,3.67,BR,1611955510
tiksi,45.7625,106.2708,15.33,90,59,13.4,MN,1611955305
nome,-13.7,-76.2167,80.6,57,0,14.97,PE,1611955510
boundiali,-20.3297,-40.2925,81,74,0,19.57,BR,1611955298
lagoa,34.2257,-77.9447,44.6,33,1,10.36,US,1611955311
bacolod,41.1231,80.2644,18.88,84,0,3.62,CN,1611955511
marrakesh,57.0813,9.2664,28.4,80,75,6.91,DK,1611955511
aykhal,10.8956,-1.0921,80.92,15,0,8.01,GH,1611955511
bambanglipuro,6.3005,-10.7969,78.8,94,40,7.63,LR,1611955394
kavieng,7.7669,-72.225,84.2,58,40,12.66,VE,1611955423
nishihara,64.3833,-173.3,-8.39,82,93,8.39,RU,1611955261
hay river,-23.65,-70.4,69.8,64,20,13.8,CL,1611955258
torbay,73.5069,80.5464,-31.13,85,100,6.04,RU,1611955512
nueva imperial,69.3,139.9,-31.43,86,100,2.21,RU,1611955302
nanortalik,2.8197,-60.6733,89.6,45,75,5.75,BR,1611955405
rawson,-16.6228,-72.7111,74.43,64,0,7.02,PE,1611955512
jacarezinho,-16.4833,-151.75,80.83,69,52,6.78,PF,1611955299
sug-aksy,-9.0122,-35.2225,78.78,82,97,10,BR,1611955472
mandalgovi,25.5167,69.7667,53.47,31,0,3.36,PK,1611955513
pisco,-6.0911,-35.2086,82.4,69,0,16.11,BR,1611955513
vila velha,60.9058,61.5186,-10.1,90,100,6.35,RU,1611955513
wilmington,21.4267,39.8261,68.25,56,0,9.57,SA,1611955479
aksu,8.25,34.5833,85.17,32,92,0.89,ET,1611955514
fjerritslev,29.3669,-94.9669,62.01,67,40,17.27,US,1611955290
navrongo,17.4924,44.1277,66.2,20,0,4.16,SA,1611955514
monrovia,-34.5833,150.8552,71.01,98,99,1.99,AU,1611955514
palabuhanratu,5.8402,118.1179,80.01,89,20,10.36,MY,1611955514
san cristobal,45.41,79.9186,23.32,69,0,4.14,KZ,1611955509
provideniya,52.6333,29.7333,19.92,97,95,10.87,BY,1611955515
antofagasta,-20.3667,14.9667,70.86,48,76,8.39,NA,1611955515
dikson,-33.8667,121.9,55.4,88,1,5.75,AU,1611955515
deputatskiy,-22.116,14.2845,66.99,83,44,2.71,NA,1611955324
boa vista,26.4667,80.35,44.6,93,90,7.25,IN,1611955354
camana,17.65,83.2667,71.6,94,20,2.3,IN,1611955515
faanui,63.7506,-68.5145,-13,70,1,17.27,CA,1611955516
maragogi,33.3406,44.4009,50,81,0,4.61,IQ,1611955272
chor,11.6667,92.75,78.87,81,84,7.81,IN,1611955516
nisia floresta,10.346,107.0843,72.99,77,100,11.05,VN,1611955516
ous,63.8424,-22.4338,33.8,75,40,6.91,IS,1611955516
mecca,31.7566,13.9942,62.35,38,0,10.11,LY,1611955516
gambela,42.1584,-72.3287,17.01,45,20,25.32,US,1611955517
galveston,31.4638,-100.437,62.6,51,1,13.8,US,1611955517
najran,8.3018,30.1418,83.55,13,0,10.36,SS,1611955510
flinders,16.8634,-99.8901,86,66,40,11.5,MX,1611955505
sandakan,31.4167,130.3167,28.4,74,0,6.91,JP,1611955517
sarkand,-6.2167,155.6333,82.45,79,43,10.63,PG,1611955517
svetlogorsk,33.3317,-105.673,39.2,87,20,27.63,US,1611955517
bolungarvik,56.9064,118.2631,-38.34,76,98,0.49,RU,1611955518
khorixas,40.2747,18.3368,59,82,0,16.11,IT,1611955518
esperance,47.3821,-61.8597,26.6,80,100,17.27,CA,1611955441
henties bay,49.5776,111.9753,-15.52,82,100,2.42,RU,1611955518
kanpur,22.5667,59.5289,64.38,55,0,7.9,OM,1611955401
yarada,18.217,-63.0578,80.6,78,20,6.91,AI,1611955518
iqaluit,7.85,9.7833,82.13,15,0,6.6,NG,1611955519
baghdad,26.5881,127.9761,55.4,76,75,5.75,JP,1611955519
port blair,60.3964,-1.353,32,86,45,9.22,GB,1611955519
vung tau,-34.7333,135.8667,61.61,73,54,12.28,AU,1611955519
grindavik,18.1333,-94.1333,73.4,88,90,9.22,MX,1611955519
bani walid,25.0213,37.2685,64.18,53,16,11.54,SA,1611955519
palmer,40.1629,-8.3327,57,93,100,1.99,PT,1611955520
san angelo,9.4092,45.064,65.75,61,0,0.85,SO,1611955520
ler,7.1333,40.7,59.11,42,0,4.43,ET,1611955520
acapulco,63.9242,127.4739,-50.58,75,100,1.05,RU,1611955350
kaseda,-23.3156,-46.2214,87.8,37,0,6.91,BR,1611955520
kieta,33.5959,56.9244,51.8,17,83,2.3,IR,1611955520
ruidoso,28.419,30.7792,46.74,56,0,4.65,EG,1611955521
chara,45.0205,-93.218,25,68,90,9.22,US,1611955349
melendugno,-19.7625,-44.3139,87.8,51,0,13.8,BR,1611955521
cap-aux-meules,47.8169,-79.8664,8.6,72,90,12.66,CA,1611955521
kyra,61.6864,53.6902,24.33,97,100,11.56,RU,1611955521
sur,52.5249,111.5418,-22.86,85,100,1.81,RU,1611955521
grand river south east,44.578,34.3446,45,62,100,11.01,UA,1611955522
the valley,-11.0964,-77.6139,75.25,65,6,10.4,PE,1611955323
wukari,51.5,156.5167,12.54,86,100,12.12,RU,1611955522
nago,60.6036,15.626,3.99,92,4,2.3,SE,1611955522
brae,3.5167,39.0584,74.28,31,0,16.87,KE,1611955341
port lincoln,68.75,161.3,-32.64,83,48,4.38,RU,1611955522
agua dulce,29.05,-109.2333,77.99,23,93,14.56,MX,1611955522
umm lajj,58.8053,-122.7002,-11.2,70,75,1.83,CA,1611955523
lata,29.3669,-99.767,66.2,52,90,17.27,US,1611955523
odweyne,-3.6667,152.4333,82.09,81,89,11.54,PG,1611955523
ginir,65.6145,-37.6368,15.8,86,90,23.02,GL,1611955523
sangar,37.1041,-113.5841,44.6,81,20,4.61,US,1611955523
santa isabel,-4.2761,-55.9836,82.4,83,20,3.11,BR,1611955360
tabas,38.421,-121.4238,54,76,40,4.61,US,1611955259
matay,27.6652,54.1371,53.6,32,0,1.32,IR,1611955524
saint anthony,-26.6167,-54.1333,75.24,88,55,5.26,AR,1611955292
esmeraldas,66.7131,27.4306,6.12,94,99,6.35,FI,1611955524
englehart,1.1983,-70.1733,88.93,54,30,3.78,CO,1611955401
ijaki,-28.7667,114.6,82.4,23,0,24.16,AU,1611955524
ust-kulom,-0.9492,100.3543,73.4,100,75,5.75,ID,1611955452
sosnovo-ozerskoye,40.9889,28.6758,48.2,71,75,18.41,TR,1611955525
partenit,-29.6842,-53.8069,77,94,40,5.75,BR,1611955525
hualmay,-10.75,-77.7667,74.71,66,15,10.49,PE,1611955525
ozernovskiy,-43.249,-65.3051,62.51,45,68,18.14,AR,1611955525
falun,-45.5752,-72.0662,62.6,39,20,10.36,CL,1611955525
moyale,17.725,-92.0167,75.2,83,75,10.67,MX,1611955526
cherskiy,-17.8,-63.1667,80.33,71,99,17.05,BO,1611955490
sahuaripa,-13.8833,167.55,86,79,40,2.3,VU,1611955440
temaraia,-17.7125,-39.2481,78.93,75,0,7.29,BR,1611955337
fort nelson,39.447,-86.1758,34,60,1,6.8,US,1611955328
uvalde,69.2167,-51.1,1.4,55,20,9.22,GL,1611955526
namatanai,10.7,37.0667,62.56,35,0,10.09,ET,1611955527
saleaula,59.0778,42.2864,18.86,97,100,7.63,RU,1611955527
tasiilaq,-43.5333,172.6333,61,71,90,9.22,NZ,1611955406
saint george,-45.8742,170.5036,55,66,57,8.99,NZ,1611955289
itaituba,51.226,-58.6502,17.17,91,0,12.53,CA,1611955527
laguna,16.1525,36.2032,69.1,82,0,14.54,SD,1611955528
gerash,22.8909,-109.9124,84.2,64,1,21.85,MX,1611955386
san vicente,68.0546,166.4372,-25.33,79,17,4.94,RU,1611955528
kemijarvi,8.4022,14.1698,75.29,19,2,1.68,CM,1611955528
mitu,43.7501,-81.7165,24.8,68,100,16.11,CA,1611955310
geraldton,39.3558,-9.3811,57,94,100,11.99,PT,1611955529
padang,-26.6481,15.1594,72.07,39,0,25.48,NA,1611955529
yakuplu,29.2747,82.1838,26.85,71,0,3.38,NP,1611955529
santa maria,18.4167,-64.6167,78.8,69,20,5.75,VG,1611955377
barranca,62.487,17.3257,9,92,90,5.75,SE,1611955530
trelew,45.6169,-61.3485,27,68,20,4.61,CA,1611955530
coihaique,3.1001,98.4908,77,100,98,2.3,ID,1611955530
catazaja,35.465,-6.0348,59,82,75,5.75,MA,1611955530
santa cruz,27.0377,14.4283,53.44,52,0,3.51,LY,1611955531
sola,-36.6167,-72.95,59,100,90,10.36,CL,1611955531
tungkang,30.7554,20.2263,59.05,69,0,9.4,LY,1611955424
caravelas,-23.7781,-45.3581,82.49,69,99,3.98,BR,1611955531
bud,69.7008,170.3133,-28.97,85,5,2.91,RU,1611955531
ilulissat,54.1667,93.3,16.74,97,100,6.35,RU,1611955531
bure,66.9395,-53.6735,9.79,73,0,9.4,GL,1611955433
soligalich,-11.7319,-75.5463,59.22,50,100,6.67,PE,1611955532
christchurch,-16.9167,145.7667,78.01,94,75,6.91,AU,1611955532
dunedin,27.9769,-114.0611,66.4,55,0,13.47,MX,1611955532
saint-augustin,21,-102.6167,74.37,27,43,5.73,MX,1611955532
wagar,71.9167,114.0833,-38.79,79,59,1.48,RU,1611955533
cabo san lucas,-20.1,146.2667,72.07,81,43,5.99,AU,1611955533
bilibino,-20.75,26.65,69.51,88,100,6.49,BW,1611955533
tchollire,66.0317,60.1659,-11.76,85,99,16.53,RU,1611955533
goderich,-17.6203,27.3414,73.22,85,100,0.31,ZW,1611955533
peniche,0.6,-80.0333,82.4,83,75,6.91,EC,1611955534
luderitz,32.9947,112.5328,40.8,64,9,2.57,CN,1611955534
jumla,52.0428,33.9453,22.19,97,85,12.5,UA,1611955534
road town,65.5833,-171,-15.83,82,0,13.31,RU,1611955424
timra,27.4327,120.6062,42.91,70,0,5.3,CN,1611955534
port hawkesbury,36.2126,57.6819,47.53,46,62,2.48,IR,1611955534
kabanjahe,9.9167,8.9,65.52,26,0,8.81,NG,1611955535
asilah,14.1833,-16.6667,82.4,20,0,11.83,SN,1611955535
jabiru,-34.6534,-58.6198,87.01,46,15,3,AR,1611955375
sabha,47.26,39.87,37.4,81,20,13.42,RU,1611955535
tome,30.4833,-115.95,60.04,65,65,14.65,MX,1611955323
ajdabiya,51.6753,79.7825,14.77,94,22,7.23,RU,1611955535
ilhabela,20.75,-105.3333,77,73,20,14.97,MX,1611955535
pevek,-2.8856,-40.12,81.5,74,100,14.92,BR,1611955536
koshurnikovo,-19.9842,57.6142,78.01,83,0,1.99,MU,1611955536
sisimiut,-21.3393,55.4781,78.8,65,0,5.75,RE,1611955281
acolla,4.9333,-52.3333,78.8,100,75,2.3,GF,1611955454
cairns,57.0531,-135.33,37.4,52,90,13.8,US,1611955536
guerrero negro,62.6323,17.9379,9,92,90,5.75,SE,1611955536
banmo,-3.7728,-61.6442,80.67,88,100,2.01,BR,1611955537
valle de guadalupe,-33.918,25.5701,62.6,82,40,5.75,ZA,1611955350
saskylakh,-8.145,159.5921,81.79,82,100,11.54,SB,1611955537
charters towers,46.4333,26.4,39.2,75,0,9.22,RO,1611955391
malabanban,-29.9533,-71.3436,64.4,72,20,12.66,CL,1611955537
mosetse,55.1796,-2.8127,33.8,93,75,11.5,GB,1611955537
inta,51.3813,1.3862,48,83,98,1.99,GB,1611955290
binga,48.1111,-69.0236,14,62,100,13.8,CA,1611955538
muisne,34.6391,-120.4579,52,87,90,4.61,US,1611955538
nanyang,-4.9408,122.5276,75.61,92,99,5.14,ID,1611955538
druzhba,-25.4,-70.4833,70.9,56,22,5.06,CL,1611955538
lavrentiya,-28.8667,153.5667,73.4,88,75,5.75,AU,1611955538
jinxiang,43.6125,122.2653,-1.34,84,0,13.76,CN,1611955538
sabzevar,50.5994,97.5228,13.95,89,100,4.5,RU,1611955539
jos,-17.9333,19.7667,68.88,89,94,4.65,NA,1611955539
diofior,-12.0667,134.2667,76.98,90,98,5.61,AU,1611955539
moron,40.4272,71.7189,30.2,55,57,4.61,UZ,1611955539
aksay,-20.6667,-40.4975,81,74,0,19.57,BR,1611955539
san quintin,41.8363,59.9666,39.2,60,100,9.22,TM,1611955539
malinovoye ozero,70.6345,29.7185,21.2,86,75,4.61,NO,1611955539
bucerias,61.95,159.2333,-5.55,83,99,12.93,RU,1611955540
acarau,58.3019,-134.4197,26.6,86,90,6.33,US,1611955540
cap malheureux,12.996,15.7293,72.45,19,0,14.67,TD,1611955540
saint-pierre,13.0667,-59.5333,80.6,65,40,12.66,BB,1611955540
cayenne,78.2186,15.6401,-2.2,60,20,20.71,SJ,1611955540
sitka,37.2687,28.2167,42.8,87,75,4.61,TR,1611955541
harnosand,9.8,38.4,55.02,44,1,3.74,ET,1611955541
anori,18.6853,12.9164,63.81,26,16,6.35,NE,1611955541
port elizabeth,5.3505,48.5268,75.88,74,19,16.75,SO,1611955541
buala,10.6129,12.1946,68.49,23,0,11.88,NG,1611955541
asau,48.8156,7.7905,50,76,90,14.97,FR,1611955541
coquimbo,40.5982,-124.1573,55.99,87,1,3.44,US,1611955542
newcastleton,57.3894,21.5606,32,100,40,11.5,LV,1611955542
margate,52.5736,-0.2478,45,100,75,6.91,GB,1611955356
les escoumins,29.0361,114.5636,47.03,63,96,0.78,CN,1611955542
lompoc,32.3502,-85.1999,59,23,1,1.86,US,1611955542
katobu,18.0866,-67.1457,81,74,22,1.99,PR,1611955542
taltal,-22.092,-70.1979,72.45,46,4,4.7,CL,1611955543
ballina,42.3414,78.0056,20.14,67,0,9.55,KG,1611955543
nizhneyansk,67.45,153.6833,-31.02,83,100,3.36,RU,1611955543
tongliao,44.6689,-90.1718,25,46,90,10.36,US,1611955543
kungurtug,58.5198,64.5495,5.88,95,100,8.95,RU,1611955543
rundu,32.4674,14.5687,65.21,44,10,13.49,LY,1611955543
